Name;Code;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
CANCOM - Governance Pillar Score;D:COK(CGSCORE);NA;NA;NA;NA;NA;NA;NA;NA;38.25;47.32;NA
CANCOM - Social Pillar Score;D:COK(SOSCORE);NA;NA;NA;NA;NA;NA;NA;NA;48.21;58.79;NA
#ERROR;;$$ER: 0904,NO DATA AVAILABLE;;;;;;;;;;
CARGOTEC 'B' - DIVIDEND YIELD;M:CGCB(DY);1.18;2.5;5.72;2.74;1.65;1.68;2.12;2;2.9;3.45;3.58
CARGOTEC 'B';M:CGCB(P);33.85;24.39;17.49;26.31;25.48;32.71;37.7;47.4;36.16;31.88;32.08
CARGOTEC 'B' - HISTORICAL VOLATILITY 5 YEARS;400E(M:CGCB);0.4796;0.5061;0.5377;0.4407;0.411;0.4316;0.4025;0.3387;0.302;0.3395;0.4196
CARGOTEC 'B' - RETURN ON EQUITY - TOTAL (%);M:CGCB(WC08301);7.66;13.28;7.4;4.48;5.85;11.22;9.22;9.65;7.51;6.27;NA
CARGOTEC 'B' - Environment Pillar Score;M:CGCB(ENSCORE);52.5;48.43;70.42;74.18;72.11;76.83;77.74;80.94;80.96;81.72;NA
CARGOTEC CORP - RESEARCH & DEVELOPMENT/SALES;M:CGCB(WC08341);1.24;1.73;2;1.67;1.75;2.02;2.37;2.64;2.54;2.58;NA
CARGOTEC CORP - Governance Pillar Score;M:CGCB(CGSCORE);45.55;46.26;14.18;21.07;16.71;37.25;28.75;39.88;50;51.14;NA
CARGOTEC CORP - Social Pillar Score;M:CGCB(SOSCORE);59.67;51.59;55.41;54.36;58.33;58.32;58.76;58.61;79.46;80.13;NA
CARGOTEC CORP - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;M:CGCB(ENERDP0961);4.79;4.31;3.76;4.09;4.97;NA;NA;3.41;22.8;19.45;NA
CASINO GUICHARD-P - DIVIDEND YIELD;F:CSO(DY);3.94;4.35;4.53;3.59;3.69;6.14;7.09;6.55;8.3;6.83;12.53
CASINO GUICHARD-P;F:CSO(P);67.24;63.88;66.2;83.49;84.58;50.83;43.975;47.64;37.6;45.66;24.9
CASINO GUICHARD-P - HISTORICAL VOLATILITY 5 YEARS;400E(F:CSO);0.2514;0.257;0.2587;0.2012;0.2193;0.263;0.2836;0.2778;0.303;0.3435;0.3609
CASINO GUICHARD-P - RETURN ON EQUITY - TOTAL (%);F:CSO(WC08301);7.94;7.95;15.39;12.61;3.63;-1.67;45.2;1.05;-1.76;-34.29;NA
CASINO GUICHARD-P - Environment Pillar Score;F:CSO(ENSCORE);66.75;62.72;75.85;76.95;73.79;71.83;78.21;72.56;82.01;80.89;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
CASINO GUICHARD-P - Governance Pillar Score;F:CSO(CGSCORE);57.29;40.23;39.53;36.31;67.68;49.24;53.09;70.78;75.44;28.99;NA
CASINO GUICHARD-P - Social Pillar Score;F:CSO(SOSCORE);69.23;70.76;73.62;71.79;73.95;74.43;75.61;93.21;96.59;96.55;NA
CASINO GUICHARD-P - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;F:CSO(ENERDP0961);NA;NA;218.14;NA;NA;NA;792.01;657.34;750.31;757.91;NA
CNP ASSURANCES - DIVIDEND YIELD;F:CNP(DY);5.35;7.54;7.34;5.74;5.31;6.14;4.74;4.2;4.2;4.95;0
CNP ASSURANCES;F:CNP(P);14.015;10.21;10.495;13.425;14.505;12.55;16.25;19.055;19.98;17.97;12.25
CNP ASSURANCES - HISTORICAL VOLATILITY 5 YEARS;400E(F:CNP);0.3287;0.3469;0.3609;0.3386;0.2834;0.2837;0.2705;0.2204;0.2018;0.2042;0.4
CNP ASSURANCES - RETURN ON EQUITY - TOTAL (%);F:CNP(WC08301);11.8;9.19;9.57;8.79;7.69;7.41;7.44;7.66;8.13;8.15;NA
CNP ASSURANCES - Environment Pillar Score;F:CNP(ENSCORE);49.51;47.3;50.99;51.47;58.72;43.8;44.65;64.04;78.61;73.86;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
CNP ASSURANCES - Governance Pillar Score;F:CNP(CGSCORE);31.62;43.81;56.38;48.92;27.26;34.74;35.5;40.78;40.92;38.61;NA
CNP ASSURANCES - Social Pillar Score;F:CNP(SOSCORE);69.74;64.88;64.18;63.05;63.6;66.43;64.88;76.17;75.92;74.92;NA
CNP ASSURANCES - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;F:CNP(ENERDP0961);0.29;0.35;0.31;0.27;0.28;0.34;0.65;0.51;0.63;0.53;NA
CORBION - DIVIDEND YIELD;H:CRBN(DY);3.9;8.55;4.45;3.99;1.08;4.48;3.86;3.67;2.09;1.94;1.32
CORBION;H:CRBN(P);19.4822;9.0851;13.5837;16.0244;13.88;22.76;22;27.215;26.74;28.8;42.35
CORBION - HISTORICAL VOLATILITY 5 YEARS;400E(H:CRBN);0.3557;0.3926;0.4067;0.326;0.3159;0.3247;0.2683;0.2578;0.2492;0.2098;0.2815
CORBION - RETURN ON EQUITY - TOTAL (%);H:CRBN(WC08301);8.98;-17.29;-7.46;0.22;-4.08;15.65;20.58;17.13;10.76;4.92;NA
CORBION - Environment Pillar Score;H:CRBN(ENSCORE);45.82;40.8;41.92;49.43;43.56;44.72;45.45;60.86;56.72;57.48;NA
CORBION - RESEARCH & DEVELOPMENT/SALES;H:CRBN(WC08341);1.5;1.39;2.31;3.47;4.16;3.56;3.43;3.67;4.38;4.16;NA
CORBION - Governance Pillar Score;H:CRBN(CGSCORE);41.7;35.81;45.64;45.82;33.2;65.03;71.2;66.23;53.52;56.58;NA
CORBION - Social Pillar Score;H:CRBN(SOSCORE);26.35;16.85;26.55;42.62;19.08;56.06;54.21;70.88;69.4;69.87;NA
CORBION - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;H:CRBN(ENERDP0961);NA;NA;NA;456.91;590.39;633.73;708.73;659.07;739.55;828.66;NA
COVIVIO - DIVIDEND YIELD;F:GARA(DY);4.34;8.8;7.14;6.49;5.75;5.34;5.75;5.01;5.13;4.5;6.79
COVIVIO;F:GARA(P);75.0005;47.0478;57.9845;63.7978;72.0151;80.59;74.83;87.89;87.7;102.2;70.65
COVIVIO - HISTORICAL VOLATILITY 5 YEARS;400E(F:GARA);0.3895;0.3882;0.3883;0.3003;0.2541;0.2673;0.2355;0.2021;0.1945;0.181;0.4202
COVIVIO - RETURN ON EQUITY - TOTAL (%);F:GARA(WC08301);17.23;8.96;-0.68;8.39;2.8;10.95;15.75;15.67;10.77;9.42;NA
COVIVIO - Environment Pillar Score;F:GARA(ENSCORE);88.62;96.22;92.32;89.72;93.79;93.18;92.54;96.36;95.77;95.8;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
COVIVIO - Governance Pillar Score;F:GARA(CGSCORE);46.41;60.79;63.26;72.15;54.35;58.04;38.87;37.63;36.1;69.38;NA
COVIVIO - Social Pillar Score;F:GARA(SOSCORE);38.34;52.82;53.19;53.9;53.16;57.98;46.02;42.79;42.3;41.37;NA
COVIVIO - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;F:GARA(ENERDP0961);0.47;78.66;NA;27.28;0;0;0;0;0;0;NA
CTS EVENTIM - DIVIDEND YIELD;D:EVD(DY);1.93;2.02;1.94;1.54;1.42;1.11;1.46;2.66;1.72;1.17;0
CTS EVENTIM;D:EVD(P);10.734;10.75;11.35;18.499;22.5;36.13;31.424;36.8;34.38;52.85;50.3
CTS EVENTIM - HISTORICAL VOLATILITY 5 YEARS;400E(D:EVD);0.3833;0.3749;0.3514;0.241;0.2362;0.2249;0.2153;0.2074;0.2055;0.197;0.3882
CTS EVENTIM - RETURN ON EQUITY - TOTAL (%);D:EVD(WC08301);28.65;26.74;29.78;27.93;29.67;28.97;27.45;31.1;29.32;27.97;NA
CTS EVENTIM - Environment Pillar Score;D:EVD(ENSCORE);NA;NA;NA;NA;NA;NA;NA;16.37;16.74;16.78;NA
CTS EVENTIM AG - RESEARCH & DEVELOPMENT/SALES;D:EVD(WC08341);0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
CTS EVENTIM AG - Governance Pillar Score;D:EVD(CGSCORE);NA;NA;NA;NA;NA;NA;NA;13.44;16.42;17.09;NA
CTS EVENTIM AG - Social Pillar Score;D:EVD(SOSCORE);NA;NA;NA;NA;NA;NA;NA;44.26;45.33;46.1;NA
#ERROR;;$$ER: 0904,NO DATA AVAILABLE;;;;;;;;;;
EIFFAGE - DIVIDEND YIELD;F:FGR(DY);3.49;6.02;4.74;2.76;3.12;2.19;2.44;1.63;2.28;2.42;0
EIFFAGE;F:FGR(P);34.38;19.95;25.3;43.495;38.465;54.74;61.48;91.86;87.68;99.1;82.96
EIFFAGE - HISTORICAL VOLATILITY 5 YEARS;400E(F:FGR);0.4086;0.4178;0.4374;0.423;0.4264;0.4286;0.3613;0.2739;0.2194;0.1947;0.3556
EIFFAGE - RETURN ON EQUITY - TOTAL (%);F:FGR(WC08301);9.18;8.53;9.43;10.3;9.81;10.23;13.89;13.75;13.91;14.49;NA
EIFFAGE - Environment Pillar Score;F:FGR(ENSCORE);92.88;89.87;95.66;96.79;97.08;96.95;97.45;97.57;97.39;NA;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
EIFFAGE - Governance Pillar Score;F:FGR(CGSCORE);53.81;37.18;37.24;37.67;35.05;38.18;46.84;52.04;75.43;NA;NA
EIFFAGE - Social Pillar Score;F:FGR(SOSCORE);55.3;51.65;55.1;57.03;55.51;69.9;86.04;86.17;87.36;NA;NA
#ERROR;;$$ER: 0904,NO DATA AVAILABLE;;;;;;;;;;
ENCAVIS - DIVIDEND YIELD;D:CAP(DY);0;0;1.55;2.18;2.51;1.66;2.85;3.21;3.7;0.77;1.55
ENCAVIS;D:CAP(P);1.946;2.983;3.186;3.676;3.989;9.046;6.312;6.233;5.95;9.07;16.8
ENCAVIS - HISTORICAL VOLATILITY 5 YEARS;400E(D:CAP);0.29;0.231;0.2059;0.1864;0.1862;0.1952;0.2254;0.2175;0.2075;0.2061;0.3258
ENCAVIS - RETURN ON EQUITY - TOTAL (%);D:CAP(WC08301);2.77;-1.22;8.3;8.32;11.74;7.66;2.73;4.34;0.87;3.87;NA
ENCAVIS - Environment Pillar Score;D:CAP(ENSCORE);NA;NA;NA;NA;NA;NA;NA;NA;8.55;8.79;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
ENCAVIS - Governance Pillar Score;D:CAP(CGSCORE);NA;NA;NA;NA;NA;NA;NA;NA;21.03;9.71;NA
ENCAVIS - Social Pillar Score;D:CAP(SOSCORE);NA;NA;NA;NA;NA;NA;NA;NA;3.95;4.24;NA
#ERROR;;$$ER: 0904,NO DATA AVAILABLE;;;;;;;;;;
EURONEXT - DIVIDEND YIELD;F:ENX(DY);NA;NA;NA;NA;0;1.97;3.26;2.92;3.22;2.14;1.79
EURONEXT;F:ENX(P);NA;NA;NA;NA;23.4;42.57;38;48.655;53.65;71.85;89
EURONEXT - HISTORICAL VOLATILITY 5 YEARS;400E(F:ENX);NA;NA;NA;NA;0.4016;0.3277;0.3271;0.2869;0.2688;0.2382;0.2617
EURONEXT - RETURN ON EQUITY - TOTAL (%);F:ENX(WC08301);NA;33.47;38;50.14;41.07;43.77;39.59;38.2;28.67;25.97;NA
EURONEXT - Environment Pillar Score;F:ENX(ENSCORE);NA;NA;NA;NA;NA;49.3;48.84;52.3;60.61;62.31;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
EURONEXT - Governance Pillar Score;F:ENX(CGSCORE);NA;NA;NA;NA;NA;33.95;46.18;52.17;36.62;39.94;NA
EURONEXT - Social Pillar Score;F:ENX(SOSCORE);NA;NA;NA;NA;NA;50.54;45.82;50.4;63.83;64;NA
EURONEXT - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;F:ENX(ENERDP0961);NA;NA;NA;NA;NA;NA;NA;NA;NA;26.4;NA
FINECOBANK SPA - DIVIDEND YIELD;I:FCBK(DY);NA;NA;NA;NA;0;2.81;6.81;3.59;2.96;2.64;0
FINECOBANK SPA;I:FCBK(P);NA;NA;NA;NA;4.18;7.105;4.848;7.8;9.632;11.465;12.31
FINECOBANK SPA - HISTORICAL VOLATILITY 5 YEARS;400E(I:FCBK);NA;NA;NA;NA;0.2596;0.3042;0.2798;0.2545;0.2525;0.2868;0.3212
FINECOBANK SPA - RETURN ON EQUITY - TOTAL (%);I:FCBK(WC08301);NA;NA;30.43;19.67;30.86;32.24;32.24;30.3;28.25;24.46;NA
FINECOBANK SPA - Environment Pillar Score;I:FCBK(ENSCORE);NA;NA;NA;NA;NA;NA;79.51;77.25;76.1;81.7;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
FINECOBANK SPA - Governance Pillar Score;I:FCBK(CGSCORE);NA;NA;NA;NA;NA;NA;61.07;74.33;65.87;87.43;NA
FINECOBANK SPA - Social Pillar Score;I:FCBK(SOSCORE);NA;NA;NA;NA;NA;NA;54.45;57.66;68.96;81.86;NA
#ERROR;;$$ER: 0904,NO DATA AVAILABLE;;;;;;;;;;
FUCHS PETROLUB - DIVIDEND YIELD;D:FPE(DY);1.77;2.76;2.17;2.47;2.23;2.06;2.19;2.15;2.41;2.47;2.55
FUCHS PETROLUB;D:FPE(P);15.402;15.91;22.59;25.87;30.96;36.885;34.75;40.87;37.3;38.1;37.65
FUCHS PETROLUB - HISTORICAL VOLATILITY 5 YEARS;400E(D:FPE);0.3565;0.3511;0.3398;0.2644;0.2345;0.2307;0.2239;0.2094;0.2204;0.2068;0.302
FUCHS PETROLUB - RETURN ON EQUITY - TOTAL (%);D:FPE(WC08301);36.48;30.37;28.76;26.72;24.84;23.77;22.79;21.43;20.86;15.12;NA
FUCHS PETROLUB - Environment Pillar Score;D:FPE(ENSCORE);1.53;1.46;7.98;8.04;10.26;12.07;12.16;25.93;25.35;30.23;NA
FUCHS PETROLUB SE - RESEARCH & DEVELOPMENT/SALES;D:FPE(WC08341);1.72;1.65;1.61;1.67;1.76;1.87;1.94;1.9;2.03;2.14;NA
FUCHS PETROLUB SE - Governance Pillar Score;D:FPE(CGSCORE);38.21;38.9;35.58;31.35;22.35;26.45;55.17;73.08;52.52;48.66;NA
FUCHS PETROLUB SE - Social Pillar Score;D:FPE(SOSCORE);22.98;25.47;36.66;37.09;45.07;40.81;37.97;67.53;65.72;66.48;NA
#ERROR;;$$ER: 0904,NO DATA AVAILABLE;;;;;;;;;;
GALAPAGOS - DIVIDEND YIELD;H:GLPG(DY);0;0;0;0;0;0;0;0;0;0;0
GALAPAGOS;H:GLPG(P);11.68;5.9;14.55;13.92;12.4;49;55.84;77.8;91.38;166.25;106.5
GALAPAGOS - HISTORICAL VOLATILITY 5 YEARS;400E(H:GLPG);0.4062;0.4273;0.4902;0.4502;0.4141;0.4677;0.4579;0.41;0.4066;0.4015;0.451
GALAPAGOS - RETURN ON EQUITY - TOTAL (%);H:GLPG(WC08301);3.4;-24.8;-4.83;-5.66;17.79;-41.46;9.61;-13.07;-2.63;7.33;NA
GALAPAGOS - Environment Pillar Score;H:GLPG(ENSCORE);NA;NA;NA;NA;NA;NA;0;0;11.32;12.45;NA
GALAPAGOS - RESEARCH & DEVELOPMENT/SALES;H:GLPG(WC08341);66.68;87.15;50.15;60.14;123.43;214.12;92.06;140.14;101.58;44.43;NA
GALAPAGOS - Governance Pillar Score;H:GLPG(CGSCORE);NA;NA;NA;NA;NA;NA;78;66.08;78.88;58.78;NA
GALAPAGOS - Social Pillar Score;H:GLPG(SOSCORE);NA;NA;NA;NA;NA;NA;45.32;45.97;69.31;66.89;NA
#ERROR;;$$ER: 0904,NO DATA AVAILABLE;;;;;;;;;;
GALP ENERGIA SGPS - DIVIDEND YIELD;P:GES(DY);1.24;1.56;1.87;2.19;2.83;4.08;3.8;3.16;3.87;4.44;7.66
GALP ENERGIA SGPS;P:GES(P);14.005;12.81;11.755;12.03;11.205;9.326;12;15.775;14.86;15.185;9.136
GALP ENERGIA SGPS - HISTORICAL VOLATILITY 5 YEARS;400E(P:GES);0.4321;0.4015;0.4004;0.2691;0.2616;0.3174;0.3176;0.2813;0.2884;0.2829;0.324
GALP ENERGIA SGPS - RETURN ON EQUITY - TOTAL (%);P:GES(WC08301);17.51;15.74;8.29;3.57;-3.41;2.51;3.67;12.79;16.59;8.64;NA
GALP ENERGIA SGPS - Environment Pillar Score;P:GES(ENSCORE);79.32;83.92;81.72;80.59;68.2;67.7;65.56;71.75;83.15;79.08;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
GALP ENERGIA SGPS - Governance Pillar Score;P:GES(CGSCORE);30.5;22.35;24.48;20.55;33.7;26.85;33.52;33.03;45.71;39.43;NA
GALP ENERGIA SGPS - Social Pillar Score;P:GES(SOSCORE);48.09;55.14;56.45;59.12;70.38;70.84;78.86;81.05;87.3;84.94;NA
GALP ENERGIA SGPS - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;P:GES(ENERDP0961);0.08;15.43;NA;14.59;16.17;23.34;43.16;34.42;4233.24;3122.58;NA
GECINA - DIVIDEND YIELD;F:GFC(DY);5.34;7.12;5.3;4.44;4.3;4.16;2.08;3.65;4.15;3.53;4.29
GECINA;F:GFC(P);80.5064;60.3285;80.9847;96.7892;104.55;109.1869;117.4357;139.2;127.8;152.9;129.5
GECINA - HISTORICAL VOLATILITY 5 YEARS;400E(F:GFC);0.4816;0.4859;0.492;0.419;0.2233;0.2159;0.1932;0.1646;0.1639;0.1624;0.2859
GECINA - RETURN ON EQUITY - TOTAL (%);F:GFC(WC08301);17.4;6.65;3.62;5.05;4.5;22.98;10.16;19.68;8.85;12.41;NA
GECINA - Environment Pillar Score;F:GFC(ENSCORE);77.07;83.02;86.34;93.03;92;93.14;92.52;92.78;90.42;89.22;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
GECINA - Governance Pillar Score;F:GFC(CGSCORE);78.93;63;73.08;62.4;69.51;72.06;70.96;48.14;68.23;79.46;NA
GECINA - Social Pillar Score;F:GFC(SOSCORE);58.71;81.95;70.85;73.88;85.76;91.28;90.55;91.06;93.49;93.85;NA
GECINA - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;F:GFC(ENERDP0961);0.92;0.74;10.07;NA;21.65;22.06;16.75;10.74;5.97;9.19;NA
GETLINK - DIVIDEND YIELD;F:GET(DY);0.59;0.65;1.45;1.65;1.48;1.51;2.67;2.37;2.72;2.36;0
GETLINK;F:GET(P);6.823;6.14;5.532;7.293;10.16;11.95;8.253;10.965;11.02;15.23;14.25
GETLINK - HISTORICAL VOLATILITY 5 YEARS;400E(F:GET);0.491;0.4477;0.397;0.3227;0.25;0.2403;0.2453;0.2204;0.2151;0.2043;0.3346
GETLINK - RETURN ON EQUITY - TOTAL (%);F:GET(WC08301);-1.93;0.43;1.48;4.37;2.7;5.87;11.54;5.85;6.42;8.72;NA
GETLINK - Environment Pillar Score;F:GET(ENSCORE);61.65;62.16;74.16;70.68;74.26;75.47;77.12;77.79;82.39;77.44;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
GETLINK - Governance Pillar Score;F:GET(CGSCORE);61.28;60.25;54.95;69;75.82;77.97;70.48;66.51;77.35;75.45;NA
GETLINK - Social Pillar Score;F:GET(SOSCORE);39.41;39.61;60.27;66.01;74.56;77.74;79.99;81.33;79.51;82.54;NA
GETLINK - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;F:GET(ENERDP0961);NA;NA;0.38;NA;NA;NA;NA;NA;NA;NA;NA
GREEK ORGANISATION OF FOOTBALL PROGNOSTICS - DIVIDEND YIELD;G:OPAP(DY);13.73;23.23;15.58;6.3;3.56;10.29;10.95;8;4.88;7.24;3.39
GREEK ORGANISATION OF FOOTBALL PROGNOSTICS;G:OPAP(P);12.75;6.63;4.62;9.05;9.17;6.65;8.4;10;8.2;9.68;8.84
GREEK ORGANISATION OF FOOTBALL PROGNOSTICS - HISTORICAL VOLATILITY 5 YEARS;400E(G:OPAP);0.3005;0.331;0.3975;0.4391;0.4703;0.4735;0.4522;0.3896;0.3304;0.273;0.4145
GREEK ORGANISATION OF FOOTBALL PROGNOSTICS - RETURN ON EQUITY - TOTAL (%);G:OPAP(WC08301);87.58;67.77;49.2;12.34;17.01;18.09;15.5;14.42;19.94;27.41;NA
GREEK ORGANISATION OF FOOTBALL PROGNOSTICS - Environment Pillar Score;G:OPAP(ENSCORE);37.49;35.49;38.56;39.51;67.53;71.33;75.43;66.9;67.34;60.44;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
GREEK ORGANISATION OF - Governance Pillar Score;G:OPAP(CGSCORE);55.56;41.22;49.91;44.64;72.74;72.29;65.91;73.15;82.2;78.64;NA
GREEK ORGANISATION OF - Social Pillar Score;G:OPAP(SOSCORE);48.01;48.07;52.79;54.83;66.32;94.11;93.01;93.06;96.91;97.16;NA
#ERROR;;$$ER: 0904,NO DATA AVAILABLE;;;;;;;;;;
HAL TRUST - DIVIDEND YIELD;H:HAT(DY);3.2;4.63;3.66;3.03;3.09;3.08;3.71;2.3;2.17;1.88;2.4
HAL TRUST;H:HAT(P);72.2034;65.6395;75.2187;90.9837;116.2718;154.0315;164.4305;144.7334;136.6299;137.4118;118
HAL TRUST - HISTORICAL VOLATILITY 5 YEARS;400E(H:HAT);0.2524;0.2459;0.2265;0.1696;0.1539;0.1639;0.1611;0.1663;0.1687;0.1368;0.1916
HAL TRUST - RETURN ON EQUITY - TOTAL (%);H:HAT(WC08301);12.85;13.03;9.82;10.75;11.44;10.69;12.14;5.13;2.06;8.57;NA
#ERROR;;$$ER: E100,INVALID CODE OR EXPRESSION ENTERED;;;;;;;;;;
HAL TRUST - RESEARCH & DEVELOPMENT/SALES;H:HAT(WC08341);0.09;0.08;0.05;0.04;0.24;0.19;0.35;0.33;0.28;0.56;NA
#ERROR;;$$ER: E100,INVALID CODE OR EXPRESSION ENTERED;;;;;;;;;;
#ERROR;;$$ER: E100,INVALID CODE OR EXPRESSION ENTERED;;;;;;;;;;
#ERROR;;$$ER: E100,INVALID CODE OR EXPRESSION ENTERED;;;;;;;;;;
HERA - DIVIDEND YIELD;I:HER(DY);5.66;7.94;7.47;5.66;4.65;3.75;4.5;3.1;3.82;2.51;3.21
HERA;I:HER(P);1.3954;1.1189;1.19;1.59;1.934;2.398;2.002;2.9;2.486;3.982;3.12
HERA - HISTORICAL VOLATILITY 5 YEARS;400E(I:HER);0.2482;0.2706;0.288;0.2832;0.2479;0.2447;0.2101;0.1849;0.1811;0.1707;0.2475
HERA - RETURN ON EQUITY - TOTAL (%);I:HER(WC08301);6.96;6.04;6.8;8.46;7.37;7.71;8.68;10.13;10.83;14.1;NA
HERA - Environment Pillar Score;I:HER(ENSCORE);90.01;87.37;83.86;84.51;79.93;82;83.27;86.57;80.84;88.91;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
HERA - Governance Pillar Score;I:HER(CGSCORE);89.64;72.9;60.53;74.15;58.01;71.36;84.62;80.93;83.3;84.58;NA
HERA - Social Pillar Score;I:HER(SOSCORE);60.39;59.44;70.42;70.67;68.8;68.76;67.69;66.48;72.83;70.47;NA
HERA - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;I:HER(ENERDP0961);1671.37;1771.29;1746.68;NA;NA;NA;NA;1685.31;1526.68;1310.11;NA
HUHTAMAKI - DIVIDEND YIELD;M:HUIF(DY);4.2;5.22;3.67;3.15;2.93;1.82;1.95;1.98;3.13;2.04;1.92
HUHTAMAKI;M:HUIF(P);9.05;8.43;12.55;17.76;19.45;33.05;33.86;36.78;25.58;41.12;46.4
HUHTAMAKI - HISTORICAL VOLATILITY 5 YEARS;400E(M:HUIF);0.4044;0.4029;0.3918;0.271;0.2083;0.2043;0.2129;0.211;0.2151;0.2352;0.2855
HUHTAMAKI - RETURN ON EQUITY - TOTAL (%);M:HUIF(WC08301);15.69;11.52;15.01;12.07;16.81;15.77;17.59;16.84;13.15;14.83;NA
HUHTAMAKI - Environment Pillar Score;M:HUIF(ENSCORE);NA;NA;NA;51.01;48.65;54.86;47.38;46.62;63.64;73.63;NA
HUHTAMAKI - RESEARCH & DEVELOPMENT/SALES;M:HUIF(WC08341);0.82;0.78;0.66;0.67;0.59;0.57;0.59;0.64;0.64;0.63;NA
HUHTAMAKI - Governance Pillar Score;M:HUIF(CGSCORE);NA;NA;NA;59.27;66.13;74.87;60.58;60.83;61.45;56.5;NA
HUHTAMAKI - Social Pillar Score;M:HUIF(SOSCORE);NA;NA;NA;35.19;26.56;55.72;55.15;70.47;68.86;77.45;NA
#ERROR;;$$ER: 0904,NO DATA AVAILABLE;;;;;;;;;;
IMERYS - DIVIDEND YIELD;F:NK(DY);2.22;3.23;3.44;2.67;2.69;2.66;2.7;2.46;4.03;5.68;5.2
IMERYS;F:NK(P);45.01;37.16;43.665;57.97;59.43;61.93;64.76;75.98;51.55;37.86;33.1
IMERYS - HISTORICAL VOLATILITY 5 YEARS;400E(F:NK);0.3196;0.3221;0.342;0.2642;0.2447;0.2481;0.2361;0.189;0.1875;0.2271;0.4053
IMERYS - RETURN ON EQUITY - TOTAL (%);F:NK(WC08301);12;13.16;13.58;10.79;11.58;2.69;10.64;12.94;18.52;3.83;NA
IMERYS - Environment Pillar Score;F:NK(ENSCORE);89.5;73.63;73.42;74.48;79.26;79.7;87.62;91.92;90.49;88.69;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
IMERYS - Governance Pillar Score;F:NK(CGSCORE);32.9;23.52;30.93;27.13;16.39;26.15;20.31;20.12;39.75;29.51;NA
IMERYS - Social Pillar Score;F:NK(SOSCORE);75.1;76.25;76.47;83.11;79.42;81.13;84.84;87.7;86.91;91.55;NA
IMERYS - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;F:NK(ENERDP0961);NA;17.87;25.87;NA;NA;NA;62.35;73.63;808.22;871.62;NA
INFRASTRUTTURE WIRELESS ITALIANE SPA NPV - DIVIDEND YIELD;I:INW(DY);NA;NA;NA;NA;NA;0;2.26;2.58;2.92;2.34;1.3
INFRASTRUTTURE WIRELESS ITALIANE SPA NPV;I:INW(P);NA;NA;NA;NA;NA;4.688;4.19;5.7;6.51;9.02;10.17
INFRASTRUTTURE WIRELESS ITALIANE SPA NPV - HISTORICAL VOLATILITY 5 YEARS;400E(I:INW);NA;NA;NA;NA;NA;0.0968;0.19;0.1885;0.1894;0.1988;0.2948
INFRASTRUTTURE WIRELESS ITALIANE SPA NPV - RETURN ON EQUITY - TOTAL (%);I:INW(WC08301);NA;NA;NA;NA;NA;NA;6.69;8.43;9.17;8.96;NA
INFRASTRUTTURE WIRELESS ITALIANE SPA NPV - Environment Pillar Score;I:INW(ENSCORE);NA;NA;NA;NA;NA;NA;NA;57.62;56.1;61.52;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
INFRASTRUTTURE WIRELESS - Governance Pillar Score;I:INW(CGSCORE);NA;NA;NA;NA;NA;NA;NA;22.31;33.55;24.91;NA
INFRASTRUTTURE WIRELESS - Social Pillar Score;I:INW(SOSCORE);NA;NA;NA;NA;NA;NA;NA;76.99;83.05;82.26;NA
#ERROR;;$$ER: 0904,NO DATA AVAILABLE;;;;;;;;;;
